CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,Gender,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,DEFAULT
> 200,66,Critical account,Furniture/equipment,3801,500 - 1000,4 - 7,3,Female,Guarantor,1,Savings agreement/life insurance,74,Bank,For free,1,Unemployed,1,0,0,1
No,20,No credits/all paid,Radio/television,12547,> 1000,4 - 7,2,Male,Guarantor,2,Savings agreement/life insurance,53,Stores,Rent,1,Unemployed,2,0,1,0
< 0,36,No credits/all paid,Vacation,11215,Unknown/None,< 1,1,Female,Co-applicant,2,Real estate,68,Stores,For free,4,Highly skilled,2,1,0,1
> 200,32,Existing paid,Repairs,3082,100 - 500,< 1,4,Female,Guarantor,3,Car or other,51,Stores,Own,2,Unemployed,1,0,1,1
> 200,16,Delay in paying,Domestic appliances,13672,Unknown/None,< 1,4,Female,Co-applicant,2,Car or other,26,Bank,For free,4,Skilled,1,0,0,0
No,49,All paid,Radio/television,402,> 1000,1 - 4,1,Female,Co-applicant,3,Unknown/None,29,Bank,Rent,1,Skilled,1,1,1,1
< 0,38,Delay in paying,Vacation,11406,500 - 1000,< 1,3,Female,Guarantor,2,Real estate,19,Stores,Own,4,Unemployed,1,0,1,1
< 0,9,Critical account,Car (new),11358,> 1000,4 - 7,1,Male,No,2,Real estate,55,Bank,For free,2,Highly skilled,2,0,1,1
> 200,50,All paid,Retraining,3050,> 1000,1 - 4,1,Female,Co-applicant,4,Unknown/None,22,Bank,Own,3,Unskilled,2,0,0,1
0 - 200,28,Existing paid,Car (new),5560,Unknown/None,> 7,2,Male,Guarantor,2,Savings agreement/life insurance,22,No,Rent,3,Highly skilled,1,0,0,1
> 200,69,Existing paid,Vacation,10194,100 - 500,Unemployed,1,Male,Co-applicant,2,Savings agreement/life insurance,69,No,For free,3,Highly skilled,1,1,1,1
> 200,13,All paid,Radio/television,2860,> 1000,< 1,1,Male,No,3,Car or other,39,Stores,For free,3,Unskilled,2,1,1,0
> 200,59,No credits/all paid,Retraining,12317,Unknown/None,> 7,4,Male,No,3,Real estate,22,Stores,Own,1,Unskilled,1,0,0,1
> 200,33,All paid,Others,1354,100 - 500,4 - 7,2,Male,Co-applicant,4,Savings agreement/life insurance,21,No,For free,1,Unskilled,2,0,0,0
No,8,Critical account,Domestic appliances,10978,500 - 1000,Unemployed,4,Male,No,2,Car or other,26,Bank,For free,2,Skilled,2,0,1,1
< 0,36,No credits/all paid,Furniture/equipment,7513,500 - 1000,> 7,4,Male,Guarantor,2,Car or other,46,Stores,For free,2,Unskilled,1,1,0,1
No,68,Existing paid,Retraining,2164,< 100,Unemployed,3,Male,Guarantor,3,Car or other,39,Stores,For free,2,Unskilled,2,0,0,0
No,21,All paid,Others,656,Unknown/None,< 1,3,Female,Co-applicant,1,Savings agreement/life insurance,44,Stores,Rent,2,Highly skilled,2,0,0,1
No,52,Delay in paying,Retraining,13939,100 - 500,4 - 7,2,Female,No,1,Savings agreement/life insurance,27,Bank,For free,4,Highly skilled,2,1,0,1
> 200,14,Delay in paying,Radio/television,416,> 1000,Unemployed,2,Male,Guarantor,1,Real estate,33,No,Own,2,Unemployed,2,0,0,0
0 - 200,29,Critical account,Others,758,500 - 1000,> 7,3,Male,Guarantor,3,Real estate,59,Stores,Rent,3,Highly skilled,1,1,0,1
< 0,66,Delay in paying,Radio/television,3914,100 - 500,< 1,3,Male,Guarantor,3,Car or other,59,No,Own,3,Unskilled,2,0,1,1
0 - 200,62,All paid,Vacation,13300,Unknown/None,< 1,3,Female,Co-applicant,1,Car or other,68,No,Own,3,Skilled,2,1,1,1
No,30,All paid,Car (used),930,< 100,> 7,3,Female,Co-applicant,1,Savings agreement/life insurance,27,Bank,Own,4,Highly skilled,2,0,1,1
No,52,Delay in paying,Retraining,4607,500 - 1000,> 7,3,Male,Guarantor,2,Savings agreement/life insurance,23,Bank,Rent,2,Highly skilled,1,0,1,1
0 - 200,36,All paid,Repairs,1613,100 - 500,Unemployed,4,Male,Guarantor,3,Real estate,66,Bank,Rent,3,Unskilled,1,1,1,0
0 - 200,4,Critical account,Retraining,9773,100 - 500,1 - 4,2,Female,No,3,Real estate,22,Bank,Rent,3,Highly skilled,1,1,1,0
0 - 200,24,No credits/all paid,Vacation,2542,100 - 500,< 1,4,Female,No,1,Unknown/None,23,Bank,For free,3,Highly skilled,2,1,0,0
No,58,Critical account,Education,1788,Unknown/None,Unemployed,4,Male,No,1,Real estate,73,Bank,Own,3,Unskilled,1,1,0,1
No,9,Critical account,Car (new),3658,Unknown/None,> 7,1,Male,Co-applicant,4,Savings agreement/life insurance,64,Stores,Rent,1,Highly skilled,1,1,1,1
< 0,8,All paid,Furniture/equipment,9002,Unknown/None,Unemployed,4,Male,Guarantor,3,Car or other,42,No,Own,2,Skilled,1,0,1,1
< 0,6,No credits/all paid,Others,424,> 1000,> 7,3,Male,Co-applicant,4,Unknown/None,68,Bank,Rent,2,Unemployed,2,1,1,0
No,56,All paid,Car (used),2480,100 - 500,4 - 7,3,Female,Guarantor,2,Real estate,67,Stores,Rent,4,Highly skilled,1,1,0,1
0 - 200,26,Existing paid,Domestic appliances,4537,500 - 1000,> 7,1,Female,No,4,Real estate,21,No,Rent,1,Skilled,1,1,0,1
0 - 200,56,All paid,Domestic appliances,12362,Unknown/None,> 7,1,Male,No,1,Savings agreement/life insurance,57,Bank,Own,4,Highly skilled,1,1,0,1
< 0,40,All paid,Domestic appliances,7356,Unknown/None,> 7,1,Male,No,3,Unknown/None,65,Bank,For free,3,Unemployed,2,0,0,1
No,20,All paid,Radio/television,9939,100 - 500,1 - 4,1,Male,No,3,Real estate,49,Stores,Rent,4,Unskilled,2,0,1,0
< 0,4,No credits/all paid,Domestic appliances,12296,Unknown/None,> 7,1,Female,Guarantor,4,Car or other,73,No,Rent,3,Unemployed,1,0,1,1
< 0,54,All paid,Furniture/equipment,1401,> 1000,< 1,4,Male,No,4,Savings agreement/life insurance,68,Bank,Rent,3,Highly skilled,1,0,1,1
> 200,48,No credits/all paid,Car (new),7869,> 1000,< 1,1,Male,Guarantor,2,Unknown/None,69,No,For free,2,Unemployed,1,0,1,1
> 200,7,Delay in paying,Domestic appliances,6283,Unknown/None,Unemployed,4,Male,Guarantor,2,Real estate,52,Stores,Own,2,Unemployed,2,1,0,0
> 200,65,Existing paid,Retraining,8810,100 - 500,1 - 4,2,Female,Co-applicant,1,Real estate,27,Bank,Own,2,Unskilled,2,0,0,1
0 - 200,68,No credits/all paid,Retraining,5196,100 - 500,Unemployed,1,Male,No,1,Unknown/None,51,No,Own,2,Highly skilled,1,0,1,1
No,35,Delay in paying,Radio/television,2157,100 - 500,< 1,1,Female,No,1,Savings agreement/life insurance,53,Stores,Own,2,Unemployed,2,1,0,1
No,37,No credits/all paid,Furniture/equipment,3740,< 100,< 1,4,Male,Co-applicant,4,Unknown/None,23,Stores,Rent,1,Unemployed,1,1,0,1
No,42,No credits/all paid,Car (new),4423,Unknown/None,4 - 7,2,Male,Guarantor,4,Unknown/None,60,Bank,For free,2,Unskilled,2,0,0,0
No,29,Existing paid,Car (used),11315,100 - 500,> 7,4,Male,No,3,Savings agreement/life insurance,63,No,Rent,4,Skilled,1,0,0,1
> 200,37,Critical account,Vacation,17927,> 1000,< 1,4,Female,Guarantor,1,Real estate,33,Bank,For free,3,Highly skilled,2,1,1,1
0 - 200,57,Critical account,Car (new),5019,500 - 1000,Unemployed,1,Male,Co-applicant,4,Car or other,70,Bank,Own,2,Skilled,1,0,0,0
0 - 200,6,No credits/all paid,Vacation,5046,500 - 1000,Unemployed,3,Male,Guarantor,3,Savings agreement/life insurance,36,No,For free,1,Skilled,2,1,1,0
> 200,53,All paid,Education,13296,100 - 500,> 7,3,Female,No,1,Car or other,51,No,Rent,4,Unskilled,1,1,0,1
0 - 200,15,Delay in paying,Vacation,14461,500 - 1000,> 7,4,Female,Guarantor,2,Real estate,42,No,Rent,4,Unskilled,1,0,0,0
> 200,68,All paid,Repairs,5247,500 - 1000,4 - 7,1,Female,Guarantor,2,Unknown/None,48,Stores,Own,3,Highly skilled,1,0,1,0
No,57,All paid,Retraining,17626,< 100,1 - 4,2,Male,No,4,Car or other,66,Stores,Rent,4,Skilled,1,0,1,1
> 200,8,No credits/all paid,Furniture/equipment,8362,> 1000,Unemployed,3,Female,No,3,Real estate,58,No,Rent,4,Unemployed,2,1,0,1
No,60,No credits/all paid,Business,5537,> 1000,> 7,2,Male,Guarantor,2,Real estate,34,Stores,For free,4,Skilled,1,1,0,1
No,20,No credits/all paid,Radio/television,10828,< 100,Unemployed,3,Female,Guarantor,3,Unknown/None,64,Bank,Rent,4,Unskilled,2,0,1,1
< 0,50,No credits/all paid,Repairs,6676,< 100,> 7,1,Female,Co-applicant,3,Unknown/None,47,No,Own,1,Unemployed,2,0,0,1
> 200,26,Critical account,Vacation,11849,500 - 1000,< 1,4,Female,No,2,Real estate,56,Bank,Own,3,Unemployed,1,0,0,1
< 0,17,No credits/all paid,Domestic appliances,639,Unknown/None,Unemployed,2,Male,Guarantor,3,Real estate,71,No,Rent,2,Unskilled,1,1,1,0
> 200,69,Critical account,Furniture/equipment,1249,500 - 1000,< 1,2,Male,No,2,Car or other,72,Bank,Own,4,Unemployed,1,1,0,1
> 200,54,Critical account,Repairs,13062,< 100,Unemployed,4,Male,Co-applicant,4,Real estate,48,No,For free,1,Skilled,1,1,0,1
< 0,41,No credits/all paid,Radio/television,15849,> 1000,1 - 4,2,Male,Guarantor,1,Real estate,36,Bank,For free,3,Unskilled,2,0,0,1
< 0,67,Existing paid,Retraining,2105,500 - 1000,4 - 7,3,Male,Guarantor,1,Car or other,52,No,Rent,2,Highly skilled,2,1,0,1
