LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
108231,Female,High School,Married,55,3,2,2,3,4,4,37703,10213,3152,79723,6530,66149,8084,19330,35076,41309,34210,32519,1
714225,Female,Others,Others,71,2,3,2,4,2,-1,64422,23129,48663,95609,74733,73550,28692,10391,16001,30,2806,1286,1
477153,Female,Others,Married,47,-1,3,1,1,4,3,19614,94989,92431,55500,99621,1120,29307,40683,5119,6601,47988,3860,0
742555,Female,Graduate School,Others,57,1,2,2,-1,0,4,15711,65034,91263,65483,30509,2391,44400,28453,22120,24389,31936,10274,0
510642,Female,University,Married,66,4,1,-1,-1,-1,-1,93406,59606,26180,97464,28409,9158,37327,45441,565,43098,3325,10726,0
548182,Female,Graduate School,Single,41,4,4,4,0,4,-1,16066,15524,65270,93671,83095,96524,6240,14263,40407,18559,39415,49888,0
432376,Female,Others,Married,36,2,2,0,-1,1,-1,43291,17098,70214,10323,44598,99185,7817,27855,12090,21449,20140,29282,0
325239,Male,High School,Married,48,4,-1,4,2,-1,4,31891,75548,35077,79086,97132,40699,34283,19420,8992,17231,21781,29777,0
563560,Male,Others,Married,45,4,-1,4,1,1,-1,-247,58811,89482,67163,58130,22746,44881,36843,28206,49943,8993,25916,0
588309,Male,Unknown,Single,53,2,-1,-1,2,-1,0,39882,48827,25649,80768,43089,12045,15712,46157,45701,24276,40840,14290,1
231120,Female,High School,Married,37,2,-1,2,-1,0,4,33374,35273,46496,17919,50524,53153,15964,45227,23575,49660,15153,2377,0
43645,Male,Graduate School,Married,63,-1,0,1,-1,-1,-1,38293,61903,62282,17656,54954,39024,27742,24108,5084,29416,10549,24771,0
31179,Male,High School,Single,50,-1,1,1,2,4,0,2578,68138,69237,52956,90572,68379,34195,3667,41951,45795,44217,27037,1
544979,Male,Unknown,Others,61,4,0,3,0,-1,2,85586,22059,93317,15544,37996,57141,6085,43899,29300,7977,28655,49004,1
663724,Male,Others,Married,73,2,3,1,-1,1,0,80004,40877,63903,49936,20505,5129,32391,13742,14062,37100,11487,9696,1
270005,Female,University,Single,24,2,3,1,2,0,4,18229,41782,12060,58288,29132,67746,30541,8796,43485,14294,40357,46472,1
222718,Male,University,Married,22,4,2,2,2,1,4,67474,21888,91413,87518,31558,90698,44164,18920,21997,9204,8787,38160,1
241899,Male,University,Single,29,0,-1,0,1,0,-1,41886,27398,74558,18566,56202,74505,47157,33433,10621,19408,34815,21802,0
317455,Female,Others,Others,74,1,2,0,0,4,4,12875,9795,82779,13880,23116,37284,17397,1232,22901,35838,40986,19302,0
367525,Male,University,Others,51,3,3,2,3,3,2,61742,85723,39487,51776,75769,47056,40047,11979,43560,17458,35196,44984,0
180110,Female,Unknown,Married,45,3,-1,1,2,2,3,99731,82650,-84,10936,86064,99835,36994,24311,39673,22352,38207,25446,0
562766,Male,Others,Single,57,4,4,-1,1,4,0,89276,76156,22648,95284,8250,9626,41379,32091,13634,49620,130,30860,1
458991,Male,University,Others,56,3,1,4,3,4,3,78686,70512,43135,82947,24547,53639,3349,22408,27736,20867,19451,24760,1
312476,Male,Graduate School,Others,75,-1,3,4,1,2,2,8701,28232,50814,11198,58734,93029,47879,41311,43099,23613,19735,9881,1
602145,Female,Others,Single,25,-1,4,0,1,1,0,48121,12284,36460,7376,72360,19937,38844,9953,376,13654,2332,17596,0
55900,Male,Others,Married,44,0,2,2,4,4,-1,22291,61630,80391,66432,4455,17663,12157,19279,40910,23704,736,11837,1
